trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	10.73	11.4401433306	15571.9727695	10111.0432616	17691.8227398	20798.0090615	24205.0852173	None	3407.07615584	4	4	1	144	0	1	1	3	[404, 668]	-39	1	0	1	125	[911, 111]	19	0	1	1	168	[243, 273]	-24	1	0	1	26	[1203, 273]	-62	0	1	1	88	[260, 483]	56	0	1	1	107	[580, 395]	37	1	0	1	148	[1418, 916]	-4	1	0	1	137	[1491, 109]	7	19	144	125	3	168	26	88	107	148	137
2	8	collaborate	contingent	4.71	21.9110387098	35911.6789046	31686.2836803	37948.7156837	41054.9119018	44093.5119477	None	3038.60004596	4	4	2	146	1	0	1	62	[1080, 294]	84	0	1	1	77	[617, 672]	69	1	0	1	117	[1258, 190]	29	1	0	1	97	[1429, 428]	49	0	1	1	0	[761, 921]	-34	1	0	1	33	[1017, 491]	-67	0	1	1	156	[1040, 891]	-10	0	1	1	20	[682, 358]	-54	29	146	117	62	77	97	0	33	156	20
3	8	collaborate	contingent	0.49	22.1810468903	56668.7212111	51308.6922402	58722.130324	61828.261299	65786.1634206	None	3957.90212153	4	4	7	17	0	1	1	40	[663, 792]	-23	0	1	1	134	[183, 821]	63	1	0	1	0	[380, 454]	17	1	0	1	29	[1102, 512]	-12	1	0	1	53	[1181, 661]	-36	0	1	1	12	[420, 892]	5	0	1	1	91	[287, 631]	-74	1	0	1	64	[803, 290]	-47	-47	17	64	40	134	0	29	53	12	91
4	8	collaborate	contingent	18.8	37.3007036781	77577.6184903	71814.2714352	78059.7215589	81165.9676255	85107.6535566	None	3941.68593107	2	6	4	2	0	1	1	60	[549, 354]	-58	1	0	1	151	[339, 336]	31	0	1	1	45	[228, 748]	-43	0	1	1	78	[1266, 694]	-76	1	0	1	8	[439, 153]	-6	0	1	1	103	[581, 937]	79	0	1	1	176	[1067, 127]	6	0	1	1	128	[1430, 105]	54	-6	2	8	60	151	45	78	103	176	128
5	8	collaborate	contingent	0.06	37.3557148281	93240.5217096	91001.976717	94759.0985613	97865.4626519	101038.554962	None	3173.09231045	3	5	1	18	0	1	1	3	[1261, 493]	15	1	0	1	87	[755, 374]	-69	0	1	1	109	[1276, 158]	89	1	0	1	17	[614, 257]	1	0	1	1	31	[1415, 433]	-13	0	1	1	144	[1173, 323]	54	0	1	1	63	[1361, 853]	-45	1	0	1	124	[429, 755]	74	-69	18	87	3	109	17	31	144	63	124
6	8	collaborate	contingent	10.04	43.3345735179	112143.928678	107183.466684	113762.822912	116869.375401	119691.651935	None	2822.27653439	4	4	7	171	1	0	1	166	[359, 669]	5	1	0	1	40	[553, 474]	-49	0	1	1	115	[1331, 710]	56	0	1	1	133	[1082, 870]	38	0	1	1	100	[1305, 348]	71	0	1	1	57	[1481, 809]	-66	1	0	1	179	[170, 358]	-8	1	0	1	151	[574, 670]	20	20	171	151	166	40	115	133	100	57	179
7	8	collaborate	contingent	6.24	46.4795846679	136876.129153	132766.913429	137175.374717	140282.501931	142636.255476	None	2353.75354484	4	4	6	146	0	1	1	138	[1269, 274]	8	0	1	1	58	[742, 684]	88	1	0	1	170	[197, 708]	-24	0	1	1	43	[1171, 525]	-77	1	0	1	150	[590, 143]	-4	0	1	1	103	[1463, 195]	43	1	0	1	120	[746, 361]	26	1	0	1	12	[289, 369]	-46	26	146	120	138	58	170	43	150	103	12
8	8	collaborate	contingent	19.86	56.4355728523	155261.704434	151737.422116	157281.43605	160387.918898	162876.002333	None	2488.08343483	4	4	0	178	1	0	1	176	[452, 296]	2	1	0	1	117	[646, 436]	61	1	0	1	103	[302, 409]	75	0	1	1	157	[1092, 274]	21	0	1	1	55	[710, 893]	-57	0	1	1	71	[1319, 123]	-73	1	0	1	35	[405, 546]	-37	0	1	1	90	[1046, 596]	88	2	178	176	117	103	157	55	71	35	90
9	8	collaborate	contingent	19.69	72.7111906638	175451.330719	172044.44846	179725.517463	182832.42659	185136.426097	None	2303.99950738	4	4	3	169	1	0	1	51	[1000, 617]	-62	0	1	1	23	[937, 368]	-34	0	1	1	123	[1269, 217]	46	1	0	1	172	[293, 281]	-3	1	0	1	136	[557, 674]	33	0	1	1	66	[1026, 140]	-77	1	0	1	36	[257, 884]	-47	0	1	1	83	[1332, 655]	86	-3	169	172	51	23	123	136	66	36	83
10	8	collaborate	contingent	0.09	72.7895329062	195790.951086	191248.140482	198896.242332	202019.221768	206411.208458	None	4391.98669042	4	4	7	48	0	1	1	60	[844, 197]	-12	1	0	1	49	[735, 863]	-1	1	0	1	149	[1095, 785]	79	1	0	1	31	[1110, 627]	17	0	1	1	6	[1501, 158]	42	0	1	1	109	[1363, 648]	-61	0	1	1	94	[183, 392]	-46	1	0	1	168	[205, 815]	60	60	48	168	60	49	149	31	6	109	94
