trialnr	nstim	rewtype	rewamount	reward	total	fixonset	stimonset	maintenanceonset	probeonset	t1	rewardonset	RT	nfixself	nfixother	probedstim	response	self_fixated0	other_fixated0	rewarded0	ori0	XYloc0	error0	self_fixated1	other_fixated1	rewarded1	ori1	XYloc1	error1	self_fixated2	other_fixated2	rewarded2	ori2	XYloc2	error2	self_fixated3	other_fixated3	rewarded3	ori3	XYloc3	error3	self_fixated4	other_fixated4	rewarded4	ori4	XYloc4	error4	self_fixated5	other_fixated5	rewarded5	ori5	XYloc5	error5	self_fixated6	other_fixated6	rewarded6	ori6	XYloc6	error6	self_fixated7	other_fixated7	rewarded7	ori7	XYloc7	error7	E	X	T	NT0	NT1	NT2	NT3	NT4	NT5	NT6
1	8	collaborate	contingent	19.77	35.162380171	18237.0690508	14211.9244695	19422.1214403	22545.7701023	26119.4045059	None	3573.63440365	4	4	3	124	0	1	1	166	[388, 548]	-42	1	0	1	118	[1047, 889]	6	0	1	1	24	[182, 421]	-80	1	0	1	155	[1432, 936]	-31	0	1	1	73	[1332, 180]	51	1	0	1	142	[1222, 933]	-18	0	1	1	42	[1079, 308]	82	1	0	1	95	[1399, 397]	29	-31	124	155	166	118	24	73	142	42	95
2	8	collaborate	contingent	50.55	62.6749573216	41935.3641309	31680.5908757	43806.6583291	46929.5625503	51471.6155797	None	4542.05302941	4	4	4	127	0	1	1	136	[1484, 369]	-9	0	1	1	19	[1127, 311]	-72	1	0	1	67	[394, 910]	60	0	1	1	33	[493, 114]	-86	1	0	1	107	[391, 334]	20	1	0	1	54	[571, 772]	73	0	1	1	83	[1286, 268]	44	1	0	1	125	[247, 183]	2	20	127	107	136	19	67	33	54	83	125
3	8	collaborate	contingent	98.47	115.517420141	71562.2837878	58201.4278897	72831.3854224	75938.3902776	79798.1491242	None	3859.7588466	4	4	5	173	0	1	1	56	[1171, 416]	-63	1	0	1	122	[1429, 485]	51	0	1	1	159	[1478, 810]	14	0	1	1	21	[219, 922]	-28	1	0	1	32	[740, 315]	-39	1	0	1	176	[842, 111]	-3	0	1	1	140	[1433, 182]	33	1	0	1	99	[419, 433]	74	-3	173	176	56	122	159	21	32	140	99
4	8	collaborate	contingent	74.9	202.202628607	97566.3421085	86074.7277897	98833.8122777	101958.640096	106733.671967	None	4775.03187057	4	4	2	43	0	1	1	157	[489, 755]	66	0	1	1	110	[259, 288]	-67	1	0	1	56	[748, 915]	-13	1	0	1	178	[1286, 502]	45	0	1	1	74	[280, 455]	-31	1	0	1	31	[709, 243]	12	0	1	1	87	[639, 768]	-44	1	0	1	17	[1032, 278]	26	-13	43	56	157	110	178	74	31	87	17
5	8	collaborate	contingent	84.27	284.987936504	120596.492514	112178.949514	121864.074111	124988.992098	131450.615089	None	6461.62299109	4	4	7	29	0	1	1	42	[550, 652]	-13	1	0	1	117	[1423, 685]	-88	1	0	1	146	[1148, 902]	63	1	0	1	0	[1318, 514]	29	0	1	1	68	[495, 142]	-39	0	1	1	52	[224, 442]	-23	0	1	1	131	[454, 840]	78	1	0	1	19	[1147, 258]	10	10	29	19	42	117	146	0	68	52	131
6	8	collaborate	contingent	99.83	384.817370406	151458.799541	137980.624011	152728.114867	155883.792815	160393.882902	None	4510.09008798	4	4	0	59	1	0	1	58	[1245, 786]	1	1	0	1	103	[1203, 388]	-44	0	1	1	135	[465, 430]	-76	1	0	1	91	[1494, 141]	-32	0	1	1	161	[885, 177]	78	0	1	1	145	[542, 753]	-86	0	1	1	35	[354, 315]	24	1	0	1	22	[965, 882]	37	1	59	58	103	135	91	161	145	35	22
7	8	collaborate	contingent	57.52	460.588374536	174421.887588	165653.932854	175674.157015	178798.103307	185895.60307	None	7097.49976358	4	4	7	125	1	0	1	122	[984, 803]	3	0	1	1	70	[668, 337]	55	0	1	1	31	[202, 407]	-86	0	1	1	159	[523, 225]	-34	1	0	1	80	[1323, 864]	45	0	1	1	3	[270, 903]	-58	1	0	1	49	[1329, 303]	76	1	0	1	107	[1131, 136]	18	18	125	107	122	70	31	159	80	3	49
8	8	collaborate	contingent	95.81	557.728583001	198805.732818	191389.460608	200073.596284	203198.784043	210261.851125	None	7063.06708178	4	4	2	50	0	1	1	99	[171, 761]	-49	1	0	1	163	[1493, 814]	67	1	0	1	55	[1353, 490]	-5	0	1	1	115	[619, 765]	-65	1	0	1	126	[1452, 370]	-76	1	0	1	89	[981, 778]	-39	0	1	1	151	[365, 836]	79	0	1	1	138	[443, 520]	-88	-5	50	55	99	163	115	126	89	151	138
9	8	collaborate	contingent	99.32	639.675859359	229201.592466	215388.352927	230469.61391	233592.95028	240190.105497	None	6597.15521684	3	5	1	51	0	1	1	5	[987, 703]	46	1	0	1	53	[1045, 547]	-2	1	0	1	133	[620, 372]	-82	0	1	1	27	[342, 455]	24	0	1	1	150	[328, 107]	81	1	0	1	17	[1104, 391]	34	0	1	1	115	[655, 931]	-64	0	1	1	86	[281, 820]	-35	-2	51	53	5	133	27	150	17	115	86
10	8	collaborate	contingent	100.0	739.590293261	256439.555505	245334.043564	257707.621301	260831.079362	267912.701019	None	7081.62165689	4	4	6	88	0	1	1	25	[714, 648]	63	0	1	1	60	[892, 862]	28	1	0	1	77	[1508, 491]	11	1	0	1	145	[1458, 669]	-57	0	1	1	122	[481, 258]	-34	1	0	1	98	[1373, 940]	-10	1	0	1	88	[1397, 228]	0	0	1	1	111	[466, 663]	-23	0	88	88	25	60	77	145	122	98	111
11	8	collaborate	contingent	47.16	810.181297391	288755.289342	275813.099154	290023.661564	293146.826028	296755.369981	None	3608.5439528	4	4	7	56	1	0	1	39	[172, 525]	17	0	1	1	10	[542, 731]	46	0	1	1	159	[274, 246]	77	1	0	1	54	[892, 898]	2	0	1	1	127	[489, 325]	-71	1	0	1	139	[1239, 217]	-83	0	1	1	28	[353, 559]	28	1	0	1	77	[1072, 781]	-21	-21	56	77	39	10	159	54	127	139	28
12	8	collaborate	contingent	87.05	902.354846674	313305.172013	302199.029991	314574.288309	317697.089166	320186.924305	None	2489.83513805	4	4	7	83	0	1	1	129	[696, 653]	-46	0	1	1	21	[1154, 448]	62	1	0	1	68	[1256, 826]	15	1	0	1	39	[1148, 202]	44	0	1	1	56	[574, 135]	27	0	1	1	167	[268, 282]	-84	1	0	1	104	[1455, 438]	-21	1	0	1	92	[1499, 136]	-9	-9	83	92	129	21	68	39	56	167	104
13	8	collaborate	contingent	91.95	954.775114067	333980.739104	326648.562324	335249.511587	338372.573786	344469.571758	None	6096.99797157	4	4	3	5	1	0	1	15	[1238, 158]	-10	1	0	1	95	[1492, 345]	90	0	1	1	71	[1038, 217]	-66	1	0	1	178	[1396, 697]	7	0	1	1	161	[860, 319]	24	0	1	1	143	[1168, 373]	42	1	0	1	107	[1123, 840]	78	0	1	1	33	[479, 349]	-28	7	5	178	15	95	71	161	143	107	33
14	8	collaborate	contingent	64.57	990.667576887	358598.820404	349745.671357	359865.835332	362990.287447	367984.087439	None	4993.79999135	4	4	6	126	0	1	1	75	[205, 734]	51	0	1	1	160	[287, 582]	-34	0	1	1	107	[370, 720]	19	0	1	1	170	[654, 882]	-44	1	0	1	121	[1032, 324]	5	1	0	1	65	[617, 602]	61	1	0	1	142	[1170, 438]	-16	1	0	1	31	[749, 351]	-85	-16	126	142	75	160	107	170	121	65	31
15	8	collaborate	contingent	95.81	1067.33177598	387322.915071	373661.04188	388591.678756	391714.756717	396273.72076	None	4558.96404325	4	4	3	87	0	1	1	113	[276, 878]	-26	1	0	1	15	[1090, 873]	72	0	1	1	36	[370, 530]	51	1	0	1	92	[833, 174]	-5	0	1	1	55	[173, 286]	32	1	0	1	3	[792, 703]	84	0	1	1	77	[712, 323]	10	1	0	1	130	[1046, 645]	-43	-5	87	92	113	15	36	55	3	77	130
16	8	collaborate	contingent	71.53	1103.59971447	405860.425948	401602.011127	408615.205801	411739.473181	416551.238132	None	4811.76495168	3	5	4	66	1	0	1	39	[1022, 914]	27	0	1	1	70	[214, 468]	-4	0	1	1	7	[289, 324]	59	1	0	1	118	[427, 945]	-52	1	0	1	80	[570, 833]	-14	0	1	1	49	[1505, 156]	17	0	1	1	24	[1403, 384]	42	0	1	1	104	[1127, 601]	-38	-14	66	80	39	70	7	118	49	24	104
