session,ip,u,Q119_1,Q119_2,Q119_3,Q119_4,Q119_5,Q119_6,Q119_7,Q119_8,Q119_9,Q119_10
,,734306,11,8,12,10,10,8,8,10,14,9
,,536062,11,9,13,9,11,9,13,11,14,8
,,466146,13,8,14,10,9,8,13,12,14,9
2017-04-21_09-30,17,856761,14,10,11,10,10,9,13,9,13,9
,,213393,10,9,10,10,9,9,13,9,13,8
2017-04-19_13-30,15,504524,9,10,10,10,8,8,10,13,13,9
,,681017,9,10,9,12,12,9,13,13,12,13
2017-04-21_13-30,12,329109,12,11,8,10,9,9,12,10,14,13
,,384011,9,9,9,10,9,10,13,11,12,11
,,780510,13,10,13,10,9,9,12,11,10,10
,,317890,13,9,10,11,11,10,13,9,10,9
,,10250,10,9,12,13,9,8,12,9,13,9
,,30303,14,9,13,8,9,8,14,8,13,9
2017-04-13_pm,5,613556,13,11,11,12,12,10,11,11,11,12
2017-04-13_pm,8,62494,8,8,8,14,8,10,14,8,14,10
2017-04-13_pm,2,213681,11,10,11,10,9,9,11,10,13,10
2017-04-21_09-30,5,264382,14,9,10,14,8,8,13,9,11,9
,,690605,,,,,,,,,,
,,529755,,,,,,,,,,
2017-04-19_13-30,24,725254,13,9,11,12,9,9,13,9,13,10
,,897059,10,8,9,9,8,10,13,13,11,10
2017-04-19_15-00,9,833327,13,9,10,11,10,9,13,8,11,10
2017-04-19_15-00,5,589052,12,10,10,13,8,9,14,10,11,10
2017-04-19_13-30,8,335629,11,8,12,11,8,8,8,12,11,8
2017-04-21_13-30,5,603115,13,9,12,13,9,9,10,13,13,9
,,37112,13,12,10,10,10,10,12,9,10,13
,,163099,9,9,10,11,8,9,13,10,11,10
2017-04-19_13-30,2,208624,12,11,10,13,10,9,13,11,12,11
2017-04-19_13-30,23,896983,13,10,12,12,9,10,12,10,13,10
2017-04-21_09-30,2,438950,9,9,9,10,10,8,10,10,13,11
2017-04-21_15-00,9,638301,10,8,13,13,8,8,13,10,10,9
,,320134,14,10,11,8,9,9,12,8,9,10
2017-04-19_15-00,12,812177,14,9,12,11,9,9,12,9,13,8
2017-04-19_13-30,17,869422,8,8,9,11,8,11,13,12,10,10
,,848728,,,,,,,,,,
2017-04-19_13-30,5,674178,12,9,10,11,9,9,11,9,13,9
2017-04-19_13-30,12,778003,10,8,12,9,8,8,11,11,11,8
2017-04-19_13-30,9,756797,12,12,9,10,8,10,12,9,12,10
2017-04-21_13-30,24,719106,13,9,9,12,9,8,14,9,14,12
2017-04-21_15-00,5,522671,14,9,11,12,9,8,11,9,12,8
2017-04-19_15-00,23,906305,10,8,10,10,9,10,10,12,12,10
,,534426,,,,,,,,,,
2017-04-21_13-30,17,726434,13,9,13,9,9,10,13,9,12,9
2017-04-19_13-30,22,692058,13,10,12,10,10,9,10,10,12,10
2017-04-21_15-00,17,476451,9,9,10,10,12,9,8,13,10,13
,,864113,10,13,13,12,13,13,12,12,13,13
2017-04-21_09-30,24,332296,13,9,10,11,9,10,10,8,8,10
,,866529,,,,,,,,,,
2017-04-21_15-00,22,edwin,14,9,10,9,10,11,9,8,14,9
